,,,,,,
,テストケース一覧,,,,,
,,"これは開発プロセスシートのテスト項目を詳細に記述した資料。
受講生は下記の要件にしたがってテストコードが書けているか必ず確認すること。
テストケースについては、余裕のある場合に実装してみましょう。
テストでは各機能（D列：項目）ごとに採点されます。
なので，一つ一つの機能テストを完全にすることを意識しましょう。",,,,
,,ID,項目,テスト内容,テスト手順,期待挙動
,,1,会員登録機能,名前が入力されていない場合、バリデーションメッセージが表示される,"1. 会員登録ページを開く 
2. 名前を入力せずに他の必要項目を入力する 
3. 登録ボタンを押す",「お名前を入力してください」というバリデーションメッセージが表示される
,,,,メールアドレスが入力されていない場合、バリデーションメッセージが表示される,"1. 会員登録ページを開く 
2. メールアドレスを入力せずに他の必要項目を入力する 
3. 登録ボタンを押す",「メールアドレスを入力してください」というバリデーションメッセージが表示される
,,,,パスワードが入力されていない場合、バリデーションメッセージが表示される,"1. 会員登録ページを開く 
2. パスワードを入力せずに他の必要項目を入力する 
3. 登録ボタンを押す",「パスワードを入力してください」というバリデーションメッセージが表示される
,,,,パスワードが7文字以下の場合、バリデーションメッセージが表示される,"1. 会員登録ページを開く 
2. 7文字以下のパスワードと他の必要項目を入力する 
3. 登録ボタンを押す",「パスワードは8文字以上で入力してください」というバリデーションメッセージが表示される
,,,,パスワードが確認用パスワードと一致しない場合、バリデーションメッセージが表示される,"1. 会員登録ページを開く 
2. 確認用パスワードと異なるパスワードを入力し、他の必要項目も入力する 
3. 登録ボタンを押す",「パスワードと一致しません」というバリデーションメッセージが表示される
,,,,全ての項目が入力されている場合、会員情報が登録され、プロフィール設定画面に遷移される,"1. 会員登録ページを開く 
2. 全ての必要項目を正しく入力する 
3. 登録ボタンを押す",会員情報が登録され、プロフィール設定画面に遷移する
,,2,ログイン機能,メールアドレスが入力されていない場合、バリデーションメッセージが表示される,"1. ログインページを開く 
2. メールアドレスを入力せずに他の必要項目を入力する 
3. ログインボタンを押す",「メールアドレスを入力してください」というバリデーションメッセージが表示される
,,,,パスワードが入力されていない場合、バリデーションメッセージが表示される,"1. ログインページを開く 
2. パスワードを入力せずに他の必要項目を入力する 
3. ログインボタンを押す",「パスワードを入力してください」というバリデーションメッセージが表示される
,,,,入力情報が間違っている場合、バリデーションメッセージが表示される,"1. ログインページを開く 
2. 必要項目を登録されていない情報を入力する 
3. ログインボタンを押す",「ログイン情報が登録されていません」というバリデーションメッセージが表示される
,,,,正しい情報が入力された場合、ログイン処理が実行される,"1. ログインページを開く 
2. 全ての必要項目を入力する 
3. ログインボタンを押す",ログイン処理が実行される
,,3,ログアウト機能,ログアウトができる,"1. ユーザーにログインをする
2. ログアウトボタンを押す",ログアウト処理が実行される
,,4,商品一覧取得,全商品を取得できる,1. 商品ページを開く,すべての商品が表示される
,,,,購入済み商品は「Sold」と表示される,"1. 商品ページを開く
2. 購入済み商品を表示する",購入済み商品に「Sold」のラベルが表示される
,,,,自分が出品した商品は表示されない,"1. ユーザーにログインをする
2. 商品ページを開く",自分が出品した商品が一覧に表示されない
,,5,マイリスト一覧取得,いいねした商品だけが表示される,"1. ユーザーにログインをする
2. マイリストページを開く",いいねをした商品が表示される
,,,,購入済み商品は「Sold」と表示される,"1. ユーザーにログインをする
2. マイリストページを開く
3. 購入済み商品を確認する",購入済み商品に「Sold」のラベルが表示される
,,,,未認証の場合は何も表示されない,1. マイリストページを開く,何も表示されない
,,6,商品検索機能,「商品名」で部分一致検索ができる,"1. 検索欄にキーワードを入力 
2. 検索ボタンを押す",部分一致する商品が表示される
,,,,検索状態がマイリストでも保持されている,"1. ホームページで商品を検索 
2. 検索結果が表示される 
3. マイリストページに遷移",検索キーワードが保持されている
,,7,商品詳細情報取得,必要な情報が表示される（商品画像、商品名、ブランド名、価格、いいね数、コメント数、商品説明、商品情報（カテゴリ、商品の状態）、コメント数、コメントしたユーザー情報、コメント内容）,1. 商品詳細ページを開く,すべての情報が商品詳細ページに表示されている
,,,,複数選択されたカテゴリが表示されているか,1. 商品詳細ページを開く,複数選択されたカテゴリが商品詳細ページに表示されている
,,8,いいね機能,いいねアイコンを押下することによって、いいねした商品として登録することができる。,"1. ユーザーにログインする
2. 商品詳細ページを開く 
3. いいねアイコンを押下 ",いいねした商品として登録され、いいね合計値が増加表示される
,,,,追加済みのアイコンは色が変化する,"1. ユーザーにログインする
2. 商品詳細ページを開く 
3. いいねアイコンを押下 ",いいねアイコンが押下された状態では色が変化する
,,,,再度いいねアイコンを押下することによって、いいねを解除することができる。,"1. ユーザーにログインする
2. 商品詳細ページを開く 
3. いいねアイコンを押下 ",いいねが解除され、いいね合計値が減少表示される
,,9,コメント送信機能,ログイン済みのユーザーはコメントを送信できる,"1. ユーザーにログインする
2. コメントを入力する
3. コメントボタンを押す",コメントが保存され、コメント数が増加する
,,,,ログイン前のユーザーはコメントを送信できない,"1. コメントを入力する
2. コメントボタンを押す",コメントが送信されない
,,,,コメントが入力されていない場合、バリデーションメッセージが表示される,"1. ユーザーにログインする
2. 255文字以上のコメントを入力する
3. コメントボタンを押す",バリデーションメッセージが表示される
,,,,コメントが255字以上の場合、バリデーションメッセージが表示される,"1. ユーザーにログインする
2. コメントボタンを押す",バリデーションメッセージが表示される
,,10,商品購入機能,「購入する」ボタンを押下すると購入が完了する,"1. ユーザーにログインする
2. 商品購入画面を開く 
3. 商品を選択して「購入する」ボタンを押下",購入が完了する
,,,,購入した商品は商品一覧画面にて「sold」と表示される,"1. ユーザーにログインする
2. 商品購入画面を開く 
3. 商品を選択して「購入する」ボタンを押下
4. 商品一覧画面を表示する",購入した商品が「sold」として表示されている
,,,,「プロフィール/購入した商品一覧」に追加されている,"1. ユーザーにログインする
2. 商品購入画面を開く 
3. 商品を選択して「購入する」ボタンを押下
4. プロフィール画面を表示する",購入した商品がプロフィールの購入した商品一覧に追加されている
,,11,支払い方法選択機能,小計画面で変更が反映される,"1. 支払い方法選択画面を開く 
2. プルダウンメニューから支払い方法を選択する	",選択した支払い方法が正しく反映される
,,12,配送先変更機能,送付先住所変更画面にて登録した住所が商品購入画面に反映されている,"1. ユーザーにログインする
2. 送付先住所変更画面で住所を登録する 
3. 商品購入画面を再度開く",登録した住所が商品購入画面に正しく反映される
,,,,購入した商品に送付先住所が紐づいて登録される,"1. ユーザーにログインする
2. 送付先住所変更画面で住所を登録する 
3. 商品を購入する",正しく送付先住所が紐づいている
,,13,ユーザー情報取得,必要な情報が取得できる（プロフィール画像、ユーザー名、出品した商品一覧、購入した商品一覧）,"1. ユーザーにログインする
2. プロフィールページを開く",プロフィール画像、ユーザー名、出品した商品一覧、購入した商品一覧が正しく表示される
,,14,ユーザー情報変更,変更項目が初期値として過去設定されていること（プロフィール画像、ユーザー名、郵便番号、住所）,"1. ユーザーにログインする
2. プロフィールページを開く",各項目の初期値が正しく表示されている
,,15,出品商品情報登録,商品出品画面にて必要な情報が保存できること（カテゴリ、商品の状態、商品名、ブランド名、商品の説明、販売価格）,"1. ユーザーにログインする
2. 商品出品画面を開く
3. 各項目に適切な情報を入力して保存する",各項目が正しく保存されている
,,,,,,
,応用項目,,,,,
,,"こちらは応用要件を実装していただいた場合のテストケースです。
応用機能を実装していただいた場合は下記のテストケースを実装してください。",,,,
,,ID,項目,テスト内容,テスト手順,期待挙動
,,16,メール認証機能,会員登録後、認証メールが送信される,"1. 会員登録をする
2. 認証メールを送信する",登録したメールアドレス宛に認証メールが送信されている
,,,,メール認証誘導画面で「認証はこちらから」ボタンを押下するとメール認証サイトに遷移する,"1. メール認証導線画面を表示する
2. 「認証はこちらから」ボタンを押下
3. メール認証サイトを表示する",メール認証サイトに遷移する
,,,,メール認証サイトのメール認証を完了すると、プロフィール設定画面に遷移する,"1. メール認証を完了する
2. プロフィール設定画面を表示する",プロフィール設定画面に遷移する